Question,Option 1,Option 2,Option 3,Option 4,Answer
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
int main(void) {
 char s[4]=""ABCDE"";
 size_t a=2147483648;
 char *str[]={""PICT"",""INC"",""16"",""PRADNYA""};
 char *p=s+4;
 *p='A';
 p++;
 *p='B';
 p++;
 *p=0;
 printf(""%s %d %d %d"",s,a,sizeof(a),sizeof(str));
}


",ABCDEAB 2147483648 64 32,ABCDEAB -2147483648 8 32,ABCDAB -2147483648 8 32,   ABCDAB 2147483647 64 32,3
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
int main(void) {
 switch(1){
  int f=1,i,n=10;
  for(i=n;i>=1;i--)
   f*=i;
  printf(""%d "",f);
  break;
  f=1,n=5;
  for(i=n;i>=1;i--)
  f*=i;
  printf(""%d "",f);
  break;
 }
 int f=1,a=15,b=3,i;
 for(i=0;i<b;i++)
  f*=a;
 printf(""%d "",f);
}



",    3628800 120 3375,compile error,3375,   3628800 3375,3
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
int main(void) {
 int a=10,b=5,c=8,d=20;
 d=++a&&(b++*c<<2)/(a+2,b-2,c+3);
 printf(""%d"",d);
}


",0,none of these,compile error ,   runtime error,2
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
int main(void) {
 static int a[]={1,2,3,4};
 int *p=a;
 int *q=a+sizeof(a)/sizeof(int)-1;
 int *r=a+2;
 int var1=*p+++(*p)--+*p+++*r--+*q;
 int var2=++*q-++*p+--*r+*r++;
 int var3=(*p+++(*p)--+*p+++*r--+*q)&&(++*q-++*p+--*r+*r++);q--;
 printf(""%d %d %d %d"",var1,var2,var3,a[(*p+*q+*r)%4]);
}


",1 11 1 -1,11 1 -1 -1,11 1 1 -1,1 1 -1 -1   ,3
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
typedef struct INC{
 char *c;
 const char a[20];
 short int code;
}PRADNYA;
int main(void) {
 PRADNYA *c=(PRADNYA*)malloc(sizeof(PRADNYA));
 c->c=""FIRST"";
 strcpy(c->a,""ROUND"");
 c->code=2147483648;
 printf(""%s %s %d "",c->c,c->a,c->code);
 c->c=""PRADNYA"";
 c->code=32768;
 c->a=""C/C++"";
 printf(""%s %s %d "",c->c,c->a,c->code);
}


",FIRST ROUND 0 PRADNYA ROUND -32768,FIRST ROUND 0 PRADNYA C/C++ -32768,compile error,   FIRST ROUND 0 PRADNYA ROUND 32768,3
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
typedef struct INC{
 char *c;
 const char a[20];
 short int code;
}PRADNYA;
int main(void) {
 PRADNYA *c=(PRADNYA*)malloc(sizeof(PRADNYA));
 c->c=""FIRST"";
 strcpy(c->a,""ROUND"");
 c->code=2147483648;
 printf(""%s %s %d "",c->c,c->a,c->code);
 c->c=""PRADNYA"";
 c->code=32768;
 c->a=""C/C++"";
 printf(""%s %s %d "",c->c,c->a,c->code);
}


",FIRST ROUND 0 PRADNYA ROUND -32768,FIRST ROUND 0 PRADNYA C/C++ -32768,compile error,   FIRST ROUND 0 PRADNYA ROUND 32768,3
"  What is the output of this program?

    #include <iostream>
    using namespace std;
    void square (int *x)
    {
        *x = (++*x ) * (*x);
    }
    int main ( )
    {
        int num = 10;
        square(&num);
        cout << num; 
        return 0;
    }",121,"compile time error
",144,110,1
"#include <iostream>
#include <math.h>
using namespace std;

int main(){
	int x = (pow(2,5)-6),y;
	for (y = 0; x; y++)	x =(x & (x - 1));
	cout<<y<<endl;
	return 0;
}
",3,6,9,none of these,1
"#include <iostream>
#define fun(a, b) (y ^ ((x ^ y) & -(x < y)))
using namespace std;

int main(){
	int x=15,y=25,r;
	r = fun(fun(y,x),fun(x,y));
	cout<<r<<endl;
	return 0;
}",0,22,none of these ,12,3
"#include <iostream>
#include <cstdio>
#include <vector>
using namespace std;
int fun(int a,int b){
        if(b==0) return a;
        return fun(b,a%b);
}
int main(){
        int k=3;
        static int sum = 0;
        vector <int> v;
        v.reserve(10);
        for(int i=0;i<5;i++)        sum+=fun(i,i+k);
        cout<<(sum+v.size())<<endl;
        return 0;
}
",9,19,14,none of these,1
"#include<stdio.h>
int main(){
	int var=14,c;
	for(c=0;var;var>>=1)	c+=var&1;
	printf(""%d"",c);
	return 0;
}
",4,2,3,garbage value,3
"#include<stdio.h>
const int num=50;
int main()
{
int func(void);

int p,q,r;
p=func();
printf(""%d\n"",p);
q=func();
printf(""%d\n"",q);
r=func();
printf(""%d\n"",r);

return 0;
}
int func(void)
{
static int num = 100;
num = num+23;
return num;
}","50
50 
50","100
100
100","123
123
123","123
146
169",4
"#include<stdio.h>
int main(){
        int var=printf(""%d"",printf(""%d"",printf(""12"")))*printf(""%d"",printf(""%d"",printf(""12"")));
        printf(""%d"",var);
        return 0;
}
",122112211,221122112,Compile time error,122121121,1
"#include <iostream>
#include <vector>
#include <algorithm>
using namespace std;
int main(){
	vector <int> my_vector;

	my_vector.push_back(3);
	my_vector.push_back(4);
	my_vector.push_back(2);
	my_vector.push_back(1);

	sort(my_vector.begin(),my_vector.end());
	reverse(my_vector.rbegin(),my_vector.rend());

	for(int i=0;i<my_vector.size();i++){
		cout<<my_vector[i]<<"" "";
	}
	return 0;
}
",4 3 2 1,1 2 4 3,3 4 2 1,1 2 3 4,1
"#include<stdio.h>
int shifts(void);
int main()
{
int c;
static int a=256;
do
{

a=a>>1;

c=shifts();
if(c<16)
printf(""Hello\n"");

}while(a>4);
return 0;
}

int shifts()
{
static int b=128;
b=b>>1;
return b;
}
",Infinite loop,"Hello
Hello
Hello","Hello
Hello","Hello
Hello
Hello
Hello
Hello",2
"#include <iostream>
#include <vector>
#include <algorithm>
using namespace std;
int main(){
	string url=""www.google.com"";
	url:http://www.google.com/;
	cout<<url<<endl;
	return 0;
}
",Compile time error,http://www.google.com/,Runtime error,www.google.com,4
"#include <iostream>

using namespace std;
int main(){
        int v=(12&3)^(14&5);
        int result=v;
        result+=v;
        if(!(v=(v&(v-1))))
                result+=v/2,
                result+=v;
        else result+=v/2;
        cout<<result<<endl;
        return 0;
}
",14,8,12,Compile time error,2
"#include <iostream>
#include <math.h>
using namespace std;

int pradnya(int n){
	for(int i=2;i<sqrt(n);i++)	if(n%i==0) return 10;
	return 20;
}
int main(){
	cout<<pradnya(pradnya(pradnya(pradnya(23)>pradnya(21)?3:19)+23)+3);
	return 0;
}
",10,20,23,None of these,2
"#include<stdio.h>
#include<string.h>
int main()
{
char INC[100]=""Impetus&Concepts"";
char Concepts[100]=""&Concepts"";
if(strstr(INC,Concepts))
{
if(strchr(INC,'&'))
strcat(INC,Concepts);
else
strcpy(INC,Concepts);
printf(""%s"",INC);
}
else
printf(""%s"",Concepts);
return 0;
}",Impetus&Concepts&Concepts,&Concepts,Impetus&Concepts,Concepts,1
"What is output of this code:- 
#include <stdio.h>
#define num 4
#define int double
#define char float
#define float char*
#define double int
int main() {
        short b=100;
        int c=(2,0,1,6);
        double d=(2,0,1,6);
        float e=""INC"";
        char a=""PRADNYA16"";
        printf(""%d"",sizeof(a),'*','*','*','*','*');
        printf(""%d"",sizeof(b),'*','*','*','*','*');
        printf(""%d"",sizeof(c),'*','*','*','*','*');
        printf(""%d"",sizeof(d),'*','*','*','*','*');
        printf(""%d"",sizeof(e),'*','*','*','*','*');
}
",84488,compile error,84484,82488,4
"What is output of this code:-
#include <stdio.h>
enum inc{inc1,inc2,inc3,inc4,inc5};
enum inc21{inc11,inc21,inc31,inc41,inc51};
enum inc26{inc12,inc22,inc32,inc42,inc52};
struct A{
      enum inc grpA;
      enum inc21 grpB;
      enum inc26 grpC;
};
struct B{
     enum inc grpA;
     enum inc21 grpB;
     enum inc26 grpC;
};
struct C{
     struct A grp;
     struct B grpA;
     enum inc grpB;
     enum inc21 grpC;
     enum inc26 grpD;
};
int main(void) {
 printf(""%d %d %d %d %d"",sizeof(enum inc),sizeof(struct A),sizeof(struct C),sizeof(struct B),sizeof(enum inc21));
}
",8 12 36 12 4,  4 12 36 8 4,8 12 36 4 4,4 12 36 12 4,4
"What is output of this code:-
#include <stdio.h>
int main(void) {
      int *p2={97,98,99,100,101,102,103,104,105,106,107,108};
      float *p3={97,98,99,100,101,102,103,104,105,106,107,108};
      double *p4={97,98,99,100,101,102,103,104,105,106,107,108};
      if(p2==p3==p4){
            printf(""%d"",*&*&*&*&*&p2&&*&*&*&p3);
            printf(""%c"",(*&*&*&*&*&p4||*&*&*&p3)+65);
            printf(""%d"",*&*&*&*&*&p2&&!*&*&*&p3);
      }
      else{
            printf(""%d"",*&*&*&*&*&p2&&*&*&*&p3);
            printf(""%c"",(*&*&*&*&*&p4&&*&*&*&p3)+65);
           printf(""%d"",*&*&*&*&*&p2&&!*&*&*&p3);
      }
}

",1B0,compile error,0B1,1B1,1
"What is output of this code:-
#include <stdio.h>
using namespace std;
enum D{short1=0,medium2,long3};
struct C{
      class A ***h;
      class B **swap;
};
struct E{
      enum D E;
      struct E ****F;
};
class A{
      struct C k;
      struct E ***j;
      enum D *****l;
};
class B{
      enum D a;
      struct C b;
      struct E c;
      class A d;
};
int main() {
      #define scanf sizeof
      B *swap=new B();
      int *inc=new int[scanf(swap)];
      inc[0]=scanf(swap);inc[1]=scanf(swap);
      printf(""%d %d "",scanf(swap),*inc**&*&*inc++**inc);
      printf(""%d %d "",scanf(E),scanf(A));
      printf(""%d %d "",scanf(B),scanf(C));
      printf(""%d %d "",scanf(D),scanf(A));
}
",8 512 16 32 72 16 4 32,8 512 16 32 72 8 4 32 ,compile error,8 256 16 32 72 8 4 32,1
"#include<stdio.h>

int main()
{
int *p3,**p2,***p,p1;

p3=(&p1,p2=&p3,p=&p2,p1=20);
int q=(++*p3)*p1/(**p2--)+***p;
printf(""%d\n"",q);
return 0;
}",0,error,1,2,2
"What is output of this code:-
#include <iostream>
using namespace std;
int inc=0;
class A{
public:A(){
       inc++;
}
 void fun(){
       A *o=new A();
 }
};
class B: public A{
public:B(){
      inc++;
}
void fun(){
      A *I=new B();
      B *N=new B();
      A *C=new B();
}
};
class C: public A{
public:C(){
        cout<<inc;
 }
 void fun(){
       A *I=new A();
       B *N=new B();
       C *c=new C();
 }
};
class D:public A{
public:D(){
        cout<<inc;
 }
 void fun(){
       A *I=new C();
       B *N=new B();
       D *C=new D();
 }
};
class E:public B,public C,public D{
public:E(){
        inc++;
}
void fun(){
       E *I=new E();
       E *N=new E();
       E *C=new E();
}
};
int main() {
      E *o=new E();
      (*o).fun();
}
",123413141819,"348913141819
","123413146619
","348913141818
",2
"#include <iostream>
#include <algorithm>
#include <vector>
#include <utility>
using namespace std;
bool mypredicate (int i, int j)
{
    return (i == j);
}
int main () 
{
   vector<int> myvector;
   for (int i = 1; i <= 6; i++) myvector.push_back (i * 10);
   int myints[] = {10, 20, 30, 40, 1024};
   pair<vector<int> :: iterator, int*> mypair;
   mypair = mismatch (myvector.begin(), myvector.end(), myints);
   cout  << *mypair.first<<'\n';
   cout  << *mypair.second << '\n';
   ++mypair.first; ++mypair.second;
   return 0;
}","50
60","40
50","50
1024",None of these,3
"#include<stdio.h>
#include<string.h>
int main()
{
   char str[]=""This Is a test"";
   char *ptr[10],*p;
   int i=1,j;
   p=strtok(str,"" "");
   if(p!=NULL)
   {
ptr[0]=p;
while(1)
{
   p=strtok(NULL,"""");
   if(p==NULL)
break;
   else
   {
ptr[i]=p;
i++;
   }
}
   }
   for(j=0;j<i;j++)
printf(""%s\n"",ptr[j]);
   return 0;
}","This
Is
a
test",This Is a test,"This
Is a test",None of these,3
"#include <stdio.h>
int main()
{
printf(""Indian"",""Army\n"");
return 0;
}",Indian Army,Indian,Indian Army\n,Army,2
"#include<stdio.h> 
int main() 
{ 
int arr[] = {1, 4, 9, 16, 25, 36}; 
int *p = (int*)(&arr+1);
int *p2 = ( ++*((int*)(&arr)+1), (int*)(&arr)+2  );
printf(""%d "", (*(p-1)+*(p2-1))); 
return 0; 
}",14,45,6,41,4
"#include<stdio.h>
int main() 
{
    struct s2;
    struct  s1
       {
           char* str;
           struct s2* next;
          
       }; 
       struct s2
         {  char* str;
             struct s1* next;
         }; 
         struct s2 *p[3];
         struct s2 arr2[]={
            {""akshay"",arr2+1},{""kunal"",arr2+2},{""raj"",arr2}
         };
         struct s1 arr1[]={
            {""hrishi"",arr1+1},{""panda"",arr1+2},{""pranav"",arr1}
         };
         int i;
         for(i=0;i<=2;i++) 
         { 
            if(i%2==0)
            p[i]=arr1[i].next;
        else
            p[i]=arr2[i].next;
        }
        printf(""%s\n"",(p[1]->next)->str );
          printf(""%s\n"",(*p)->str );
            printf(""%s\n"",((*p+1))->str );
            
         
}","akshay
Kunal
raj","hrishi
panda
pranav","akshay
panda
pranav","Hrishi
Kunal
raj",3
"//for 4byte int predict the output
#include<stdio.h>
#define inc(x,y,z) --x<<y>>z++
int main()
{
int a=1;
~a;
int b=0;
printf(""%x \t"",inc(b,3,a));
printf(""%x \n"",(-a)<<3);
}",fffffff8 fffffff0,fffffffc fffffff0,fffffff8 fffffff8,fffffffc fffffff8,2
"#include<stdio.h>
#include<string.h>
#define pop(x,y) x*y
int main()
{
int a=10;
int b=20;
int c=1;
printf(""%d \n"",pop(a+++b---c,a+++c---b++));
printf(""%d \n"",a);
printf(""%d \n"",b);
printf(""%d \n"",c);
return 0;
}","2 
11 
22 
-1","1 
12 
20 
0 ","2
11 
22 
1","1 
11 
20 
0 ",2
"#include<stdio.h>
#define impetus(x,y,z) x*y+z
int main()
{
int arr[]={1,1,5,2,8,6};
int *a=(++*(arr+1),(&arr+1));
a=a-1;
++*a++;
a=a-2;
++*a;
int *p=a;
p=p-3;
++*p;
int *q=a+1;
int a1=*p;
int a2=*a;
int a3=*q;
printf(""%d"",impetus(a1,a2,a3));
return 0;
}",28,24,36,34,4
"#include<stdio.h>
int main()
{
int fun(int);
static int a=3;
fun(a=fun(fun(a)));
printf(""Value of a is %d\n"",a);
return 0;
}
int Concepts(int a)
{
printf(""Value of a is %d\n"",a);
}
int fun(int a)
{
int (*ptr)(int)=&Concepts;
return (*ptr)(--a);
}","Value of a is 2
Value of a is 16
Value of a is 17
Value of a is 17","Value of a is 2
Value of a is 15
Value of a is 16
Value of a is 17","Value of a is 2
Value of a is 15
Value of a is 14
Value of a is 13","Value of a is 2
Value of a is 16
Value of a is 16
Value of a is 15",2
"#include<stdio.h>
#define Morefun(x,y,z)x+y+z+fun(x,y,z)
int fun(int,int ,int);
enum INC{Pradnya=1,Pratibha=0,Techfun,Concepts=9,Design,Projects=4,Xodia};
int main()
{
enum INC i=Pradnya;
enum INC i2=Techfun;
enum INC i3=Design;
enum INC i4=Xodia;
struct pictpune
{
int arr1 : 1;
int arr2 : 5;
int arr3 : 3;
}pict={i,i3,i4};
printf(""%d "",Morefun(pict.arr1,pict.arr2,pict.arr3));
return 0;}
int fun(int x,int y,int z)
{enum INC i5;
int ret=(x+++y+++z,x+y+z);
int s=sizeof(i5);
int retu1=ret+s;
return retu1;
}",18,32,16,28,1
"int pict(int x, int *p2, int **p3) 
{ 
int y, z; 
**p3 += 1; 
z = **p3; 
*p2 += 2; 
y = *p2; 
x += 3; 
return (x * y * z); 
} 
void main() 
{ int a[]={1,2,3,4};
int c1, *c2, **c3; 
int *p=a;
++*p++;
*p++;
++*p;
c1=*p;
c2 = &c1; 
c3 = &c2; 
printf(""%d , %d  , %d"", a[0],a[1],pict(c1, c2, c3)); 
return 0;
}","1,3,245","2,3,350","2,2,245","1,2,350",3
